module	statements	missing	percent
__init__.py	280	28	90.0
accuracy.py	189	15	92.1
away.py	116	9	92.2
battery.py	87	5	94.3
binary_sensor.py	78	1	98.7
button.py	59	3	94.9
climate.py	144	59	59.0
comfort_band.py	40	0	100.0
comfort_learning.py	115	12	89.6
config_flow.py	493	67	86.4
const.py	460	5	98.9
coordinator.py	3797	843	77.8
currency.py	4	0	100.0
curve_learning.py	82	12	85.4
defrost.py	205	4	98.0
dhw_draws.py	81	4	95.1
dhw_schedule.py	247	32	87.0
diagnosis.py	43	10	76.7
drift.py	70	5	92.9
external_heat.py	227	4	98.2
freq_control.py	117	8	93.2
frontend.py	94	19	79.8
grid_fee.py	175	23	86.9
inputs.py	221	11	95.0
ledger.py	75	2	97.3
manual_plan.py	115	8	93.0
mixing_valve.py	27	2	92.6
narrative.py	41	0	100.0
open_meteo.py	201	66	67.2
optimizer.py	1690	78	95.4
power_guard.py	65	0	100.0
presets.py	127	14	89.0
price_model.py	202	10	95.0
pump_mode.py	62	0	100.0
pump_schedule.py	42	0	100.0
pump_signals.py	85	1	98.8
pv.py	38	0	100.0
sensor.py	1032	40	96.1
snapshots.py	100	7	93.0
switch.py	43	5	88.4
sysid.py	209	20	90.4
tariff.py	204	15	92.6
thermal_model.py	890	39	95.6
topology.py	142	2	98.6
wear.py	63	5	92.1
