Combined 15 files
Name                                                       Stmts   Miss  Cover
------------------------------------------------------------------------------
custom_components/heatpump_optimizer/__init__.py             280     28  90.0%
custom_components/heatpump_optimizer/accuracy.py             189     15  92.1%
custom_components/heatpump_optimizer/away.py                 116      9  92.2%
custom_components/heatpump_optimizer/battery.py               87      5  94.3%
custom_components/heatpump_optimizer/binary_sensor.py         78      1  98.7%
custom_components/heatpump_optimizer/button.py                59      3  94.9%
custom_components/heatpump_optimizer/climate.py              144     59  59.0%
custom_components/heatpump_optimizer/comfort_band.py          40      0 100.0%
custom_components/heatpump_optimizer/comfort_learning.py     115     12  89.6%
custom_components/heatpump_optimizer/config_flow.py          493     67  86.4%
custom_components/heatpump_optimizer/const.py                460      5  98.9%
custom_components/heatpump_optimizer/coordinator.py         3797    843  77.8%
custom_components/heatpump_optimizer/currency.py               4      0 100.0%
custom_components/heatpump_optimizer/curve_learning.py        82     12  85.4%
custom_components/heatpump_optimizer/defrost.py              205      4  98.0%
custom_components/heatpump_optimizer/dhw_draws.py             81      4  95.1%
custom_components/heatpump_optimizer/dhw_schedule.py         247     32  87.0%
custom_components/heatpump_optimizer/diagnosis.py             43     10  76.7%
custom_components/heatpump_optimizer/drift.py                 70      5  92.9%
custom_components/heatpump_optimizer/external_heat.py        227      4  98.2%
custom_components/heatpump_optimizer/freq_control.py         117      8  93.2%
custom_components/heatpump_optimizer/frontend.py              94     19  79.8%
custom_components/heatpump_optimizer/grid_fee.py             175     23  86.9%
custom_components/heatpump_optimizer/inputs.py               221     11  95.0%
custom_components/heatpump_optimizer/ledger.py                75      2  97.3%
custom_components/heatpump_optimizer/manual_plan.py          115      8  93.0%
custom_components/heatpump_optimizer/mixing_valve.py          27      2  92.6%
custom_components/heatpump_optimizer/narrative.py             41      0 100.0%
custom_components/heatpump_optimizer/open_meteo.py           201     66  67.2%
custom_components/heatpump_optimizer/optimizer.py           1690     78  95.4%
custom_components/heatpump_optimizer/power_guard.py           65      0 100.0%
custom_components/heatpump_optimizer/presets.py              127     14  89.0%
custom_components/heatpump_optimizer/price_model.py          202     10  95.0%
custom_components/heatpump_optimizer/pump_mode.py             62      0 100.0%
custom_components/heatpump_optimizer/pump_schedule.py         42      0 100.0%
custom_components/heatpump_optimizer/pump_signals.py          85      1  98.8%
custom_components/heatpump_optimizer/pv.py                    38      0 100.0%
custom_components/heatpump_optimizer/sensor.py              1032     40  96.1%
custom_components/heatpump_optimizer/snapshots.py            100      7  93.0%
custom_components/heatpump_optimizer/switch.py                43      5  88.4%
custom_components/heatpump_optimizer/sysid.py                209     18  91.4%
custom_components/heatpump_optimizer/tariff.py               204     15  92.6%
custom_components/heatpump_optimizer/thermal_model.py        890     39  95.6%
custom_components/heatpump_optimizer/topology.py             142      2  98.6%
custom_components/heatpump_optimizer/wear.py                  63      5  92.1%
------------------------------------------------------------------------------
TOTAL                                                      12877   1491  88.4%
