RESULT topology_layout=two_tank_4way
RESULT two_tank_modelled=1 bool
RESULT flow_set_c=26.6 degC
RESULT wood_tank_min_margin_c=2 degC
RESULT share_jump_at_0.001C_below_curve=0.9985011774 fraction
RESULT share_jump_at_0.05C_below_curve=0.974980179 fraction
RESULT share_jump_at_0.1C_below_curve=0.9499901787 fraction
RESULT share_jump_at_0.25C_below_curve=0.8749961786 fraction
RESULT share_jump_at_0.5C_below_curve=0.7499981786 fraction
RESULT share_jump_at_0.75C_below_curve=0.6249988452 fraction
RESULT share_jump_at_1.0C_below_curve=0.4999991786 fraction
RESULT share_jump_at_1.25C_below_curve=0.3749993786 fraction
RESULT share_jump_at_1.5C_below_curve=0.2499995119 fraction
RESULT share_jump_at_1.75C_below_curve=0.1249996071 fraction
RESULT share_jump_at_1.999C_below_curve=0.0004996783215 fraction
RESULT share_jump_at_2.0C_below_curve=-3.21428411e-07 fraction
RESULT share_jump_at_2.5C_below_curve=-2.214284831e-07 fraction
RESULT share_jump_worst=0.9985011774 fraction
RESULT share_jump_worst_at_offset_c=0.001 degC
RESULT share_jump_null_at_2C=-3.21428411e-07 fraction
RESULT share_jump_null_above=0 fraction
RESULT cells=13 count
RESULT cells_nonzero=13 count
RESULT loo_mean_worst_dropped=0.4521217881 fraction
RESULT share_jump_vec_at_0.25C=0.8749961786 fraction
RESULT wood_dE_below_kwh=-0.6469657424 kWh
RESULT wood_dE_above_kwh=-0.005300275692 kWh
RESULT wood_energy_jump_kwh=-0.6416654667 kWh
RESULT wood_energy_jump_frac_of_discharge=0.9918074863 fraction
RESULT traj_wood_start_c=28.57663675 degC
RESULT traj_wood_at_step1_c=26.35 degC
RESULT traj_crossing_power_kw=0.1998018252 kW
RESULT traj_power_gap_kw=2.775557562e-17 kW
RESULT traj_buf_below_c=26.6 degC
RESULT traj_buf_above_c=26.6 degC
RESULT traj_wood_dE_below_kwh=-1.116068777 kWh
RESULT traj_wood_dE_above_kwh=-0.006008938695 kWh
RESULT traj_wood_jump_kwh=-1.110059838 kWh
RESULT perturbed_share_jump_worst=0.000998322857 fraction
RESULT perturbed_wood_energy_jump_kwh=7.333323533e-07 kWh
RESULT thread_factor=0.9948693575 ratio
RESULT load1=13.80908203 load
RESULT concurrent_processes=2 count
RESULT swapins=475554327 count
