Combined 13 files, skipped 5
Name                                                       Stmts   Miss  Cover
------------------------------------------------------------------------------
custom_components/heatpump_optimizer/__init__.py              90      1  98.9%
custom_components/heatpump_optimizer/accuracy.py             189     11  94.2%
custom_components/heatpump_optimizer/away.py                 224     30  86.6%
custom_components/heatpump_optimizer/battery.py              100      5  95.0%
custom_components/heatpump_optimizer/binary_sensor.py         85      0 100.0%
custom_components/heatpump_optimizer/button.py                50      2  96.0%
custom_components/heatpump_optimizer/climate.py              150      0 100.0%
custom_components/heatpump_optimizer/comfort_band.py          40      0 100.0%
custom_components/heatpump_optimizer/comfort_learning.py     110      8  92.7%
custom_components/heatpump_optimizer/config_flow.py          672      5  99.3%
custom_components/heatpump_optimizer/const.py                479      5  99.0%
custom_components/heatpump_optimizer/coordinator.py         4071    688  83.1%
custom_components/heatpump_optimizer/currency.py               4      0 100.0%
custom_components/heatpump_optimizer/curve_learning.py        82     12  85.4%
custom_components/heatpump_optimizer/datetime.py              26      3  88.5%
custom_components/heatpump_optimizer/defrost.py              205      4  98.0%
custom_components/heatpump_optimizer/dhw_draws.py             74      4  94.6%
custom_components/heatpump_optimizer/dhw_schedule.py         259     17  93.4%
custom_components/heatpump_optimizer/diagnosis.py             58     13  77.6%
custom_components/heatpump_optimizer/diagnostics.py           37      2  94.6%
custom_components/heatpump_optimizer/drift.py                 70      5  92.9%
custom_components/heatpump_optimizer/entity.py                 8      0 100.0%
custom_components/heatpump_optimizer/external_heat.py        227      4  98.2%
custom_components/heatpump_optimizer/freq_control.py         117      8  93.2%
custom_components/heatpump_optimizer/frontend.py              82      0 100.0%
custom_components/heatpump_optimizer/grid_fee.py             199     21  89.4%
custom_components/heatpump_optimizer/inputs.py               221     11  95.0%
custom_components/heatpump_optimizer/ledger.py               113      3  97.3%
custom_components/heatpump_optimizer/manual_plan.py          115      8  93.0%
custom_components/heatpump_optimizer/mixing_valve.py          30      2  93.3%
custom_components/heatpump_optimizer/narrative.py             40      0 100.0%
custom_components/heatpump_optimizer/open_meteo.py           201      0 100.0%
custom_components/heatpump_optimizer/optimizer.py           1811     76  95.8%
custom_components/heatpump_optimizer/power_guard.py           65      0 100.0%
custom_components/heatpump_optimizer/presets.py              116      4  96.6%
custom_components/heatpump_optimizer/price_model.py          217     16  92.6%
custom_components/heatpump_optimizer/process_worker.py        51      7  86.3%
custom_components/heatpump_optimizer/pump_mode.py             61      0 100.0%
custom_components/heatpump_optimizer/pump_schedule.py         42      0 100.0%
custom_components/heatpump_optimizer/pump_signals.py          85      1  98.8%
custom_components/heatpump_optimizer/pv.py                    32      0 100.0%
custom_components/heatpump_optimizer/repairs.py               41      6  85.4%
custom_components/heatpump_optimizer/sensor.py              1046      7  99.3%
custom_components/heatpump_optimizer/services.py             253      4  98.4%
custom_components/heatpump_optimizer/setpoint_check.py        69      8  88.4%
custom_components/heatpump_optimizer/snapshots.py            100      7  93.0%
custom_components/heatpump_optimizer/switch.py                52      4  92.3%
custom_components/heatpump_optimizer/sysid.py                303     25  91.7%
custom_components/heatpump_optimizer/tariff.py               230     17  92.6%
custom_components/heatpump_optimizer/thermal_model.py        905     33  96.4%
custom_components/heatpump_optimizer/topology.py             115      2  98.3%
custom_components/heatpump_optimizer/wear.py                  63      5  92.1%
custom_components/heatpump_optimizer/wood_fuel.py            210     57  72.9%
------------------------------------------------------------------------------
TOTAL                                                      14295   1151  91.9%
